	(1)	(2)	(3)
VARIABLES	stunted_ch	log_battles_fut	/
			
stunted_ch		0.119*	
		(0.062)	
dummy_tmax12_pos	0.001	0.064	
	(0.025)	(0.048)	
rural_prop	0.071***	-0.029	
	(0.016)	(0.030)	
dummy_wmhead_unempl	-0.019	0.060***	
	(0.012)	(0.023)	
HH_with_improved_tiolet	-0.184**	0.165	
	(0.086)	(0.159)	
log_battles_pres	-0.002	0.261***	
	(0.031)	(0.057)	
underwht_ch	0.566***	0.004	
	(0.038)	(0.079)	
No_min_diet_diversity_hh	0.046*	-0.002	
	(0.028)	(0.052)	
			
Observations	1,144	1,144	1,144
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
