	(1)	(2)	(3)
VARIABLES	stunted_ch	log_protests_fut	/
			
stunted_ch		0.037*	
		(0.020)	
anom_rain6_POS	-0.019	-0.010	
	(0.032)	(0.020)	
rural_prop	0.069***	-0.007	
	(0.016)	(0.010)	
dummy_wmhead_unempl	-0.018	0.009	
	(0.012)	(0.008)	
HH_with_improved_tiolet	-0.171**	0.140***	
	(0.084)	(0.053)	
underwht_ch	0.563***	-0.036	
	(0.038)	(0.026)	
No_min_diet_diversity_hh	0.046*	-0.003	
	(0.028)	(0.017)	
			
Observations	1,144	1,144	1,144
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
